,id,content
0,8,"'5. Mealy bug , Brevennia rehi , Pseudococcidae, Hemiptera Symptom of attack: The infestation starts in plants one or two month after transplanting. Stunted, circular patches may be seen in the fields. If such plants are pulled out and teased the insects can be seen at the base of the leaves and leaf sheaths. Nature of damage: Large number of these insects’ remains inside the leaf sheaths and suck up the plant sap. The affected tillers remain stunted with yellowish curled leaves. When the attack is severe, it inhibits panicle emergence. This type of disease is called as Soorai disease in Tamil Nadu. The damage occurs from September. In severe cases, yield may be reduced even upto 50%. Egg: The female lays numerous yellowish white eggs/ simply deposits nymphs in outer leaf sheaths. Nymph: The newly hatched nymphs crowded within the waxy threads for 6-10 h before they disperse to various parts of the same plant. The pale yellowish nymph is active and crawls about the plant for a while and settled itself on the plant/ stem and turns dark yellow after a day.  Body gets covered with waxy material on second day. Adult: Nymphs and adults being wingless look alike. Females are reddish, oval, soft- bodied living in colonies inside the leaf sheath. Males are small, slender, pale-yellow, having single pair of wings and a style like process at the end of the abdomen but lack mouthparts.  Males are seldom found in the colonies, so it reproduces parthenogenetically.'"
1,10,"'Egg: Eggs are cylindrical, greenish and laid in small groups of ten in two rows on the leaves. Nymph: Young nymph is brown with yellowish green abdomen and a few black spots. Adult: Adults are flat, 7-9 mm long, brownish black bugs with a prominent scutellum and pronotum having a spine on either side. It is active on the cloudy days and during night. Adults or late nymphal stage aestivate in cracks in bunds.'"
2,174,"'Family Eriophyidae 5. Aceria cajani : It is a vector of sterility mosaic of pigeonpea. 6. Aceria sorghii : Leaf crinkling, general chlorosis and choking of terminal leaves. Host plant is sorghum.'"
3,175,"'Chemical :  Acaricides viz ., tetradifon, chlorbenzalite, dicofol/ kelthane, can be used to kill phytophagous mites in all stage of development. Biological : Some of the predatory mites and insects (coccinellids, Scolothrips indicus, Chrysopa ) produce effective control.'"
4,56,"'8. Ash weevil , Myllocerus spp., Curculionidae, Coleoptera 9. Pink stem borer , Sesamia inferens , Noctuidae, Lepidoptera 10. Semilooper , Antoba silicula , Noctuidae, Lepidoptera 11. Stink bug , Nezara viridula , Pentatomidae, Hemiptera 12. Stink bug , Dolycoris indicus , Pentatomidae, Hemiptera'"
5,9,"'6. Black bug, Scotinophara lurida, Podopidae, Hemiptera Symptom of attack: Presence of bugs at the base of the stem just above the water level. Plants stunted with reduced number of tillers; leaves turn reddish brown and dry . Nature of damage: The bugs remain and feed the plant sap on the base of the plants causing stunting of plants. Leaves turn reddish brown and grains do not develop. Bugs feed on the panicles in milky stage result in brown spots or empty grains in the panicles. Heavy bug infestation may cause death to the plants and whole field appears burned called bug burn similar to hopper burn.'"
6,57,"'ITALIAN MILLET 1. Stem borer, Anadastus parvulus , Languriidae, Coloeptera Symptom of damage: Scrapped leaves, plants wither and in severe cases. Nature of damage: Grubs bore into the stem and cause withering of plants. Adult beetle scrapes green matter on the leaves. Grub: Yellowish with chitinous spines on the surface of the anal segment. Adult: Small smooth beetle with red head and thorax and blue wings.'"
7,176,"'1. House Crow , Corvus splendens, Corvidae, Passeriformes It is grey and has black and grey wings with a black area on the throat and the forehead. It is omnivorous and feed on dead rats, carrion, kitchen scraps, locusts, termites, the eggs of other birds and the ripening grains of maize and fruits. Crow are particularly attracted to maize when it is exposed on the cob. They are often seen in flocks in maize and other fields. Management : Hanging a dead crow on the top of a pole can effectively be used as a scarecrow. Maize cobs can be protected by wrapping one or two of the nearby leaves around them. A large-wire gauze cage, 2x1x1 metres having on one side a converging entrance, can be used as a trap for crows if some attractive food is kept inside.'"
8,177,"'2. Common  Myna , Acridotheres tristis, Saturnidae, Passeriformes It is a dark- brown bird, with a bright yellow bill, its legs and patches around the eyes. As it flies, large white patches become visible on the wings. It is omnivorous and feed on insects, earthworms, grasshoppers, fruits and kitchen scraps. They are seen in ripening maize and wheat fields feeding on the grains and their flocks are found alongside those of crows and parakeets. Management :  Destroying the nests goes a long way in checking their multiplication.'"
9,178,"'3. House sparrow , Passer domesticus , Ploceidae, Passeriformes Female is ash to greyish brown above and fulvous ash-white below. The male is 15 cm long, darker above, with blackish streaks on the wings and a black patch on the throat and breast. It has prominent white cheeks. Feeds on grains of maize. Management :  Spraying the wheat crop when ears are in the milky stage with Tetra Methyl Thiuram Disulphite  (TMTD) 0.6% repels the sparrows and protects the crop.'"
10,1456,"'LMP containing pectic acids are extracted with lower temperatures with less acidic solutions, but in presence of other chemical compounds. LMP are pectin derivatives which do not need sugar to gel. If used, they need to react with a calcium salt (dicalcium phosphate) which has to be added during jam making.'"
11,1457,"'The fresh fruit tissue or separated parts, including the peel and core are heated in 95% alcohol or 0.05N HCl (pH 2.0) for 10-20 min at 70 o C to inactivate pectic enzymes. After the pretreatment, the materials is ground in an electric blender and placed in water. Versene or Na-EDTA is added at 2.0%. The pH is adjusted to 6.0. The mixture is heated for about an hour at 90-95 o C. The slurry formed is rapidly filtered and the pectin is precipitated from the solution using acidified alcohol. The precipitate is centrifuged and repeatedly washed with 70% alcohol. Acetone is used for dehydration and the pectin produced is vacuum-dried. It may also be dried in a hot-air oven at 50 o C for 4 h.'"
12,1853,"'lue-green algae inoculum is sprinkled in the tray and water is let in. Standing water of 5 to 10 ithin a week, a thick algal scum is formed. At this stage, water drained out and soil is allowed to dry. The dried flakes of blue green algae are collected and'"
13,58,"'3. Black bug , Scotinophara lurida , Podopidae, Hemiptera 4. Earhead bug , Leptocorisa acuta , Alydidae, Hemiptera 5. Ash weevil , Myllocerus spp., Curculionidae, Coleoptera 6. Shoot bug , Peregrinus maidis , Delphacidae, Hemiptera'"
14,22,'6. Yellow hairy caterpillar : Psalis pennatula : Lymantriidae: Lepidoptera Symptom of attack: Defoliated leaves. It is a minor pest. Egg: Eggs are laid in batches on the leaves covered with yellow hairs.'
15,23,"'Larva: The caterpillar is yellow with red stripes and an orange head. Tufts of hairs are found all over, of which two in the anterior region and one in the posterior region are prominent. Pupa: Pupation is in a yellowish cocoon of hairs on the leaves. Adult: Moth is light yellow with bipectinate antenna.'"
16,59,"'1. Gram pod borer , Helicoverpa armigera , Noctuidae, Lepidoptera Symptom of damage: In the early stages, plants seen defoliated. Boreholes seen on the pods and affected pods have no seeds. Nature of damage: Young larva feeds on tender leaves, buds, flowers, and subsequently it bores into the pods and feeds on the seeds with its head and part of the body only thrust inside, the rest remaining outside. A single larva may destroy 30-40 pods before maturity. Egg: Spherical in shape with a flattened base, giving dome shaped appearance, surface is sculptured in the form of longitudinal ribs. Yellowish-white, glistening and change to dark brown, before hatching. Larva: Newly hatched caterpillar is sluggish and whitish-green in colour.  Full-grown larva is 3.5-4.0 cm in length with pale-green body colour. However, the colour varies according to the food intake. Dorsal surface bears dark broken stripes. Head is reddish- brown. Larva is highly cannibalistic and readily eats one another. Pupa: It pupates in soil in earthen cell. Pupa is obtect type.  Freshly formed pupa is greenish yellow in colour and darkened prior to emergence of moths. Adult: It is a medium-sized light brown coloured moth. On the forewings, there is speck that forms a V-shaped mark. Hind wings are dull grey coloured with a black border on the distal end. Female moth is bigger than male and presence of tuft of hairs on the tip of the abdomen.'"
17,60,"'2. Blue butterfly, Lampides boeticus , Lycaenidae, Lepidoptera Symptom of damage: Bore holes on buds, flowers, green pods and matured pods. Nature of damage: The larva bores into the buds, flowers and green pods just within couple of hours after hatching and feeds inside the developing grains. Egg: Eggs are laid on the buds, flowers, green pods and on shoot and leaves. Greenish white in colour, round in shape with a slight depression at the top. Larva: Newly hatched larva is yellowish green in colour with black head and a dark- brown patch on the prothorax and cylindrical body with scattered hair. Full-grown larva is yellowish green to yellowish red sometimes light purple in colour, ventral surface is light green. Whole larva is covered with small setae and marked with irregular black markings. It looks like a slug. Brownish mid-dorsal and yellowish lateral lines are well marked. Pupa: Pupa are green in colour later on it darkens and wings are also visible. Adult: It is medium sized butterfly. The colour of the wings is violet metallic blue to dusky blue. The tail of hind wings is black and tipped with white. The female is slightly bigger than the male. In males, the abdomen is slender and tapering, while in female it is long and broader at the tip.'"
18,82,"'1. Mustard aphid , Lipaphis erysimi , Aphididae, Hemiptera Nature of damage: Suck the sap from under surface of leaves. Nymph: Light yellowish green in colour and pear shaped. Adult: Darker than nymph.'"
19,83,"'2. Mustard sawfly,. Athalia lugens proxima , Tenthredinidae, Hymenoptera Nature of damage: Grub nibbles the margins of tender leaves and pod. Larva: Resembles lepidopterous caterpillar; oily black or green in colour. Adult: Adult with dark head and thorax and orange colour abdomen and translucent smoky wings with black veins.'"
20,179,"'Cultural : Deep sowing of seeds, covering the seeds with soil, pre-and post dating of sowing, growing of trap crops near the main one and use of plant varieties that are physically and gustatorily unattractive to birds.'"
21,180,"'Use of deterrents : Scare-crow (a human figure erected in the fields) or acetylene gun, a device by which loud bangs are produced by the action of water on calcium carbide; use of bioacoustics, in which bird’s stress or alarm signals are recorded and played in'"
22,181,'Invertebrata Phylum : Mollusca Class : Gasteropoda Snails differ from slugs in having a spirally coiled shell over their body which in slugs is reduced and completely hidden under the mantle.'
23,182,"'They do a lot of damage to vegetables, garden plants, the damage being more serious in the seedling stage. Giant African snails even damage plantation crops like arecanut, rubber buds and coffee.'"
24,183,"'Cultural : They can be handpicked and killed. Chemical : Metaldehyde (5%), copper sulphate solution (1%) and insecticides (aresenates, persistent organochlorines, etc.)'"
25,223,"'Leaf quality often determines when fruits and vegetables should be harvested. In root crops, the condition of the leaves can likewise indicate the condition of the crop below ground. For example, if potatoes are to be stored, then the optimum harvest time is soon after the leaves and stems have died. If harvested earlier, the skins will be less resistant to harvesting and handling damage and more prone to storage diseases.'"
26,1458,"'A pectin solution of maximum strength can be obtained with about 30 min of boiling. When this period is divided into two, each of 15 min period of extraction, maximum amount of pectin can be extracted. Other jellying agents include agar, arrow root, tapioca flour or cassava starch.'"
27,1459,"'Tea is one of the most popular beverages in the world. It also provides valuable source of income to many tea producer countries. It is a capital earning industry. To promote its development, the Govt. of India has set up'"
28,1460,'Tea is a perennial plant having a lifespan extending 100 years. The popularity of tea is due to: • Its sensory properties • Relatively low retail price • Apparent health benefits'
29,2289,'Streptomycin sulpahte  bottle @ Rs 7 / bottle Rs 28/= 1 Formalin 40 Y @ 300 ml / month Rs 60/= For I yr Rs 720/= Blotting paper sheet 1 yr 50 sheets x 2 Rs 100/='
30,27,"'producing only partially filled/ half filled grains. Small puncture appear in the middle of the flag leaf and its margin get discolored. Egg: White, cigar shaped egg laid singly on either side of the leaves. Grub: Newly hatched larva is transparent to very light cream in colour but later become yellow. The larvae move down the leaf into the whorl on a film of dew and feed within developing whorls. The larvae mostly remain outside the leaves and feed on the mesophyll tissue of the foliage. When leaves emerge from the whorl damage can be seen as pinholes in the leaves and white and yellowish lesions on the leaf edge. Pupa: Pupation takes place in between the leaf sheath where the pupa is loosely attached to the stem. The puparium is light to dark brown ovoid and sub-cylindrical in shape. Adult: Adult dark grey flies, 1.8-2.3 mm in size.'"
31,26,"'9. Whorl maggot : Hydrellia sasakii : Ephydridae: Diptera Symptoms of attack: Presence of feeding lesions in the lines and the infested plants become stunted. Nature of damage: The maggots are found to feed on the unopened leaves and to nibble the inner margins of the leaves, which showed conspicuous feeding lesions in the lines. Damaged leaves became distorted and broke-off in the wind. Infested plants are stunted. It cause damage to the boot leaf and developing panicles, which resulted in'"
