q_id,question
0,What is the purpose of the Android App mentioned?
1,How does the Android App collect data?
2,What type of devices can be used to collect data with the Android App?
3,What are the benefits of using the Android App for data collection?
4,Can the Android App be used without an internet connection?
5,Is the Android App specifically designed for farmers?
6,What types of data can be collected using the Android App?
7,Can the Android App be customized to suit specific farm requirements?
8,What is the purpose of the Android App mentioned in the text?
9,How is the data collected using the Android App?
10,What type of devices are used to collect the data?
11,What operating system should the Smartphone have in order to use the Android App?
12,What should be the minimum level at which the weather parameters should be available?
13,What are the recommended weather parameters that should be covered?
14,In what format should the weather parameters be provided?
15,Could you explain what rainfall is?
16,What are rainy days?
17,What does temperature refer to?
18,Why is it important to have weather data available for agriculture?
19,What is the importance of weather parameters in farming?
20,What are the key weather parameters that farmers should monitor?
21,Which organizations are involved in agricultural activities?
22,What are the functions of Agricultural Universities?
23,What is the role of State Remote Sensing Centres in agriculture?
24,What is the purpose of ICAR Centres located in the State?
25,How does the local IMD office contribute to agriculture?
26,What are some organizations involved in agriculture?
27,What is the role of Agricultural Universities in agriculture?
28,What services are provided by State Remote Sensing Centres in agriculture?
29,What is the standard protocol for measuring the area of IUs for a particular crop in the Cluster?
30,What is the recommended coverage area for the IUs in the Cluster?
31,How much area of the IUs should be covered for a specific crop?
32,What is the standard protocol followed for the particular crop in the Cluster?
33,What is the significance of covering 20% area of the IUs?
34,Why is it important to follow the standard protocol for a specific crop in the Cluster?
35,What does the term 'IUs' refer to?
36,What does it mean to cover a certain percentage of the IUs?
37,Why is it important to cover a significant area of the IUs?
38,What were the issues faced during the first two years of implementation of PMFBY?
39,What does the figure in the text depict?
40,"In case the reported yield estimates at the IU level are abnormally low or high, what can the Insurance Company do?"
41,What should the Insurance Company do if they find any anomaly or deficiency in the received yield data from the State Govt.?
42,What is the role of the State Level Technical Advisory Committee (STAC) in resolving yield dispute cases?
43,What happens if anomalies in the data are not reported within 7 days?
44,What are the reasons for the delay in claim settlement under PMFBY?
45,What does the figure in the text indicate?
46,In what situations can the Insurance Company make use of various products to confirm yield estimates?
47,Who is the committee authorized to decide yield dispute cases?
48,How many steps should be followed from a to d?
49,How many steps should be followed from e to f?
50,Which steps are compulsory?
51,What is the total number of steps?
52,Can any step be skipped?
53,What should be followed if the given conditions are met?
54,What is the recommended combination of steps?
55,What happens if the recommended combination of steps is not followed?
58,Are the steps in g and h optional?
59,What is the total number of steps that need to be followed?
60,What is the protocol of timelines for actual Yield data?
61,Who chairs the Technical Advisory Committee (TAC) and which organizations are represented in it?
62,What is the role of the Technical Advisory Committee (TAC)?
63,What is the Technical Agency (TA) and what is its role?
64,What is the State Level Technical Advisory Committee (STAC) and what is its purpose?
65,What happens if there is unnecessary delay in finalizing the yield data?
66,Who will chair the Technical Advisory Committee (TAC) for the execution of the Scheme?
67,Which organizations will be represented in the Technical Advisory Committee (TAC)?
68,What are some innovative technologies that can be used to address the issue of reliability of CCEs?
69,"How can the use of satellite, weather, soil, and crop data along with images/video capture improve the quality and timeliness of yield data?"
70,What role do national and international organizations play in studying the use of innovative technologies for yield estimation?
71,What is the importance of conducting pilot studies for improved yield estimation using technology and good quality CCEs?
72,Who needs to carry out an adequate number of pilot studies for improved yield estimation using technology and good quality CCEs?
73,Under what conditions can states and insurance companies use technologies like satellite remote sensing and CCEs for estimating crop yields at the IU level?
74,What innovative technologies can be used to address the issue of reliability of CCEs?
75,"How can the use of satellite, weather, soil, and crop data improve the yield data quality and timeliness?"
76,What data does the insurance company need to provide?
77,What is expected from the insurance company in terms of data?
78,What type of information does the insurance company need to provide?
79,What are the data requirements from the insurance company?
80,What is the responsibility of the insurance company regarding data?
81,What information is requested from the insurance company?
82,What is the role of the insurance company in providing data?
83,What data is required from the insurance company?
84,What data needs to be provided by the Insurance Company?
85,What is the purpose of the data provided by the Insurance Company?
86,Who may chair the STAC?
87,Who are the members of the STAC?
88,What happens if there is a disagreement between the concerned parties in the STAC?
89,What does TAC stand for?
90,What is the role of TAC/TA/STAC?
91,What is the purpose of the SOP?
92,Under what conditions is the SOP used?
93,Who has the final decision-making authority in cases not falling within the criteria for using the SOP?
94,Who can chair the STAC?
96,"In case of disagreement between the concerned parties, where can the case be referred?"
97,What do TAC/TA/STAC do?
98,What statistical tests can be used to check for normality?
99,What does the term 'CCEs' refer to?
100,What is the purpose of checking the proper sampling design for CCEs?
101,Why is it important to check the village level crop area?
102,What are some measures of dispersion used in statistical analysis?
103,What are some measures of skewness and kurtosis?
104,What is a scatter plot used for?
105,What is the purpose of scatter plots in farming?
106,What is the Shapiro-Wilk test used for in farming?
107,How is the Quartile-Quartile plot used in farming?
108,What is the purpose of the Whiskers box plot in farming?
109,What are some crop simulation models used for yield loss estimates?
110,How can remote sensing be used for crop growth analysis?
111,What is the importance of using well calibrated and validated models for crop growth analysis?
112,At what resolution should models be run for crop growth analysis?
113,What are some crop simulation models that can be used for yield loss estimates?
114,What is a remote sensing based semi-physical modelling approach?
115,What precautions should be taken when using crop simulation models for yield loss estimates?
116,What is the purpose of crop simulation models?
117,What is the requirement for considering the data mentioned in the text?
118,Which agency needs to take prior approval from the State Government?
119,Where should the agency seek approval from in order to use the data mentioned in the text?
120,What is the significance of prior approval from the State Government?
121,Under what circumstances can the data mentioned in the text be considered?
122,What happens if an agency uses the data mentioned in the text without obtaining prior approval?
123,Who is responsible for granting the prior approval to use the data mentioned in the text?
124,What is paragraph 2.13 in relation to the data mentioned in the text?
125,What is the significance of obtaining prior approval from the State Govt.?
126,What does the phrase 'as outlined in para 2.13' refer to?
127,What does it mean when the text mentions 'prior approval'?
128,Why is it important to have 'prior approval' before proceeding?
129,What is gridded or satellite based data?
130,What is Dry-spell Occurrence?
131,What is Temperature Anomaly?
132,What is Soil Moisture Analysis?
133,What are weather parameters related to crop condition?
134,What is the Standardized Precipitation Index (SPI)?
135,How can the Standardized Precipitation Index (SPI) be developed?
136,When should appropriate resolution be used for gridded data?
137,Where can high-resolution weather data be sourced from?
138,What kind of data can be used for analyzing Dry-spell Occurrence?
139,What is one of the rainfall based indexes that can be studied?
140,What is the recommended use of MODIS data for long-term satellite data needs?
141,How can crop maps be generated?
142,What should be used if crop maps are not available?
143,What is the recommended data period for assessing NDVI or NDWI deviation percentage?
144,What type of satellite data is recommended for long-term analysis?
145,Can MODIS data be used for village level information?
146,What should be overlaid on the data for deriving crop specific vegetation indices?
147,Under which project are crop maps prepared for few major crops?
148,What can be used to check whether there was any reason for yield deviation as presented in the CCE data?
149,What is a yield proxy map and how can it be derived?
150,What is the responsibility of the organization when using yield proxies?
151,How can the IU level yields be overlaid on the yield proxy map?
152,What can be considered as outliers in terms of yield?
153,How can we identify outliers in crop yield?
154,What data can be used to derive a yield proxy map?
156,What is the Sum Insured per hectare for loanee and non-loanee farmers?
157,How is the Sum Insured calculated for individual farmers?
158,What should be done in cases where crops are separately notified under irrigated and un-irrigated categories?
160,How is the Sum Insured for an individual farmer calculated?
161,Are there separate Sum Insured amounts for irrigated and un-irrigated areas?
162,What is the definition of Sum Insured per hectare?
163,How is the Sum Insured calculated for an individual farmer?
164,Is the Sum Insured the same for loanee and non-loanee farmers?
165,Are there any additional calculations involved in determining the Scale of Finance?
166,How should the Sum Insured be indicated for irrigated and un-irrigated areas?
167,What is the premium to be debited from KCC?
168,What is the total premium for the farmer's premium (Loanee)?
169,How much is the insured area through compulsory coverage?
170,What is the balance of the uncovered area?
171,What is the additional premium for non-loanee farmers?
172,What is the premium to be debited from the KCC?
173,What is the total premium for the Farmer's Premium (Loanee)?
174,What is the insured area through compulsory coverage?
175,What are the three levels of Indemnity for notified crops?
176,Who is responsible for approving indemnity levels for notified crops at the district level?
177,What is Threshold Yield (TY) and how is it used for claim calculation?
178,How is the Average Yield of a notified crop in Insurance Unit (IU) calculated?
179,How is the Threshold Yield calculated?
180,When and at what level should the Threshold Yield be defined?
181,What happens to the Threshold Yield in case of multi-year contracts?
182,Who is responsible for calculating and notifying the Threshold Yield?
183,What are the three levels of indemnity?
184,Who approves the indemnity levels for notified crops at the district level?
185,What is the threshold yield and how is it used for claim calculation?
186,How is the average yield of a notified crop calculated?
187,Why are State Governments advised to digitize their revenue records using village Census codes?
188,What is the purpose of accessing individual land records of farmers through the National Crop Insurance Portal?
189,How does digitizing revenue records using village Census codes help in benefit transfer?
190,What is the role of the National Crop Insurance Portal in accessing individual land records of farmers?
191,Why is transparency and authenticity important in benefit transfer?
192,Why are State Govts. advised to digitize their revenue records?
193,What is the purpose of digitizing revenue records using village Census codes?
194,How does the digitization of revenue records benefit the government?
195,What is the Farmer's Share of Premium?
196,How much is the Farmer's Share of Premium?
197,"What is the significance of 1,00,000 in the given information?"
198,What is the farmer's share of the premium?
199,How much premium does the farmer pay?
200,What is the total premium for the farmer?
201,What is the significance of 0.02 in the context?
202,What is the amount of the Farmer's Share of Premium?
203,What is the total yield of cotton in kilograms?
204,What are the different pickings mentioned in the text?
205,What is the yield of cotton for Experiment E1?
206,What is the average yield of cotton across all experiments?
207,What is the factor calculated as the total yield divided by the picking yield?
208,Are there any cotton crops with less than 3 pickings in a specific Taluka?
209,What is the total yield in kilograms?
210,What is the yield in kilograms for each picking?
211,What is meant by 'Crop' in the table?
212,What is the experiment number in the table?
213,What does the term 'Factor (Total yield/Picking Yield)' represent?
214,Can the State TSU hire members on a contractual or temporary basis?
215,Is it permissible for the State TSU to seek the services of other organizations or research institutes?
216,Does the State TSU need to allocate a separate budget for running its operations?
217,What is the role of State TSU (STSU) in agriculture?
218,How can State TSU (STSU) avail the services of other organizations or research institutes?
219,What is required for States to run the STSU?
220,Can States utilize the services of State TSU (STSU) without allocating a separate budget?
221,What is the role of State TSU (STSU)?
222,What is Rate of Normal Premium Subsidy?
223,Can the State/ UT Governments provide additional subsidy over and above the normal subsidy?
224,How is subsidy in premium allowed?
225,How is the Government premium subsidy to Private empanelled Insurance Companies routed?
226,What is the role of AIC/ other designated agency in the implementation of the Scheme?
227,When will the Government release their share of advance subsidy?
228,What should Insurance Companies do to facilitate settlement of prevented risk/ mid season adversity/localized claims?
229,What is the Rate of Normal Premium Subsidy and how is it shared between the Centre and State Govts?
230,What should ICs do if they have objections to any Tender condition?
231,What happens if the L1 bidder withdraws their bid after the opening of bids/allotment of work?
232,Is the L1 bidder allowed to withdraw their bid after the opening of bids/allotment of work?
233,"If an IC has objections to a Tender condition conflicting with guidelines, what can they do?"
235,When can an IC raise objections to a Tender condition conflicting with guidelines?
236,Who should the IC send a reference copy to when raising objections to a Tender condition conflicting with guidelines?
238,What will happen to the withdrawing L1 bidder if they decide to withdraw their bid?
239,What is the requirement of Aadhaar for availing crop insurance?
240,What is the alternative for farmers who do not have an Aadhaar ID?
241,What is the requirement of Aadhaar for crop loan or Kisan Credit Card (KCC) under the Interest Subvention Scheme?
242,What is the requirement of Aadhaar for availing crop insurance from Kharif 2017 season onwards?
243,Who are required to obtain Aadhaar number?
244,What are the provisions for farmers who do not have an Aadhaar ID?
245,What is the requirement for banks regarding Aadhaar for crop loans and Kisan Credit Card (KCC) under the Interest Subvention Scheme?
246,What action should be taken for loanee farmers without an Aadhaar?
247,Why has Aadhaar been made mandatory for availing crop insurance?
248,What is SI in the context of insurance?
249,How is SI determined for insurance coverage?
250,What does Insurance/Ha mean in the given context?
251,What is the Total SI to be considered for Insurance in this scenario?
252,What is the SI for Compulsory Insurance in this scenario?
253,How does insurance coverage protect farmers?
254,What factors are typically considered when determining insurance premiums for farmers?
255,How can farmers benefit from agricultural insurance?
256,What is the minimum sample size at the district level?
257,How many samples are required at the Taluka/Tehsil/Block level?
258,What is the minimum sample size at the Mandal/Firka/Revenue Circle/Hobli level?
259,How many samples are required at the Village/Village Panchayat level?
261,What is the minimum sample size at the Taluka/Tehsil/Block level?
262,What is the minimum sample size at the Mandal/Firka/Revenue Circle/Hobli or any other equivalent unit level?
263,How many samples are required in a Village/Village Panchayat?
265,What data needs to be made available for a requisite number of years?
266,What specific conversion factor should be used for reporting yield for rice/paddy?
267,"What should the State Nodal Department use for disclosure of Average Yield, Threshold Yield, and Actual Yield?"
268,Who is responsible for the prior scrutiny of the Tender document?
269,"What happens if there is an error, misreporting, or disparity in the Tender document?"
270,What can the States do with regards to notifying or de-notifying IUs for a crop within a district?
271,How can the actuarial premium rate be worked out if the deviation is greater than 10% or in case of addition of a new crop?
272,Who determines/verifies the rates for crops that have additional IUs or are de-notified?
273,What reimbursement are States implementing PMFBY entitled to for major crops at the Village/Village Panchayat level?
274,What is the requirement for past yield data?
275,What should be done while notifying the crop(s) where a specific conversion factor is being used for reporting of yield?
276,Who is responsible for the prior scrutiny of Tender document?
277,What is considered when there is no insured area of last year/season for proposed crops?
278,How is bidding done?
279,Under what circumstances can the State Government fix a ceiling on premium rates for certain crops?
280,How should State Government disclose ceiling premium rate for a crop in the tender document?
281,How should financial bids be called in cases where a ceiling has been indicated?
282,What is the requirement for the opening of bid/envelop in cases with a ceiling?
283,How should participating Insurance Companies submit their bid offers?
284,What can the State Government do if there is a ceiling on premium rates?
285,What will be considered if there is no insured area for a crop in the last year/season?
286,How is the bidding process conducted?
287,What factors are required to be computed for yield calculation?
288,What is the significance of conducting well conducted CCEs?
289,How many well conducted CCEs should be used for computing the factors?
290,What is an example of yield calculation for a multi-picking crop?
291,What are CCEs?
292,What is the Taluka?
293,Why is it important to compute the factors from CCEs conducted in the same Taluka?
294,What is the purpose of computing the proportion of picking wise yield?
295,What needs to be computed in order to determine the factors for proportion of picking wise yield?
296,What is the minimum number of well conducted CCEs required to compute the factors?
297,What is the purpose of computing the factors for proportion of picking wise yield?
298,What does CCE stand for?
299,What is the cut-off date for loanee farmers to apply for the Kharif season?
300,When should non-loanee farmers apply for the Rabi season?
301,"Within how many days should loanee farmers submit their applications after being intimated by ICs, CSCs/Banks/Intermediary?"
302,What is the cut-off date for CSCs/Banks/Intermediary to correct/update the paid application intimated by ICs on the Crop Insurance Portal?
303,When should the Insurer accept the corrected/updated applications from the Bank/CSC?
304,By when should Banks/ICs hand over the insurance acknowledgement receipt along with folio to the insured farmer for enrolment through their intermediaries?
305,What is the cut-off date for processing of applications by ICs and auto approval of applications of insured farmers on the crop insurance Portal?
306,When should Insurance Companies/GOI/State raise bills/requisitions with supporting documents for releasing advance premium subsidy?
307,What is the role of CSCs under the Ministry of Electronics and Information Technology (MeITY) in enrolling non-loanee farmers?
308,What is the requirement for Insurance Companies in relation to CSCs?
309,Is there any fee or charge borne by the farmers being enrolled through CSCs?
310,Are any qualifications or certifications required for the VLEs of CSCs in facilitating the enrollment of non-loanee farmers?
311,What is required from the empanelled Insurance Companies in relation to CSCs and the enrollment of non-loanee farmers?
312,Will other designated intermediaries be linked with the Portal?
313,What is the requirement for empanelled Insurance Companies to register on the portal?
314,What guidelines do agents/intermediaries have to follow in the enrollment process of non-loanee farmers?
315,Who are the CSCs engaged to enrol non-loanee farmers?
316,What are the Insurance Companies required to do in relation to CSCs?
317,Is any other agreement or payment required for enrolment of non-loanee farmers through CSCs?
318,Who is considered as the nodal agency for engagement with the Ministry of Agriculture and Farmers Welfare and Insurance Companies?
319,Do the farmers being enrolled through CSCs need to bear any charges or fees?
320,Is a separate qualification or certification required for the VLEs of CSCs to facilitate enrolment of non-loanee farmers?
321,What is the last date for enrolment of farmers for Kharif season?
322,What is the last date for enrolment of farmers for Rabi season?
323,When is the cut-off date for receipt of applications and premium from farmers?
324,When should the declaration of prevented sowing be made?
325,Within how many days should the banks and portals process the enrolment of farmers and debit of premium?
326,When is the cut-off date for electronic remittance of premium and uploading of details of individual covered farmers?
327,When should insurance companies and their agents remit the farmer's premium electronically?
328,What is the cut-off date for insurers to accept or reject the farmer's data on the portal?
329,What is the last date for enrolment of farmers for notified crop(s) in the Kharif season?
330,What is the last date for enrolment of farmers for notified crop(s) in the Rabi season?
331,When should the declaration of prevented sowing be made by the State Government or Insurance Company?
332,Within how many days of the cut-off date should banks and the portal complete the premium debit process for loanee and non-loanee farmers?
333,What is the purpose of the National Technical Support Unit (NTSU) or the Central Program Management Unit (CPMU)?
334,What is the role of NTSU in calculating Loss Cost?
335,What is the purpose of providing Loss Cost information to DAC & FW/Concerned States?
336,What is the potential methodology used by NTSU for risk classification/premium rating?
337,What should States/UTs implementing Schemes do in addition to NTSU/CPMU at the Central level?
338,What is the purpose of the National Technical Support Unit (NTSU) or Central Program Management Unit (CPMU)?
339,What does NTSU calculate in relation to crop insurance?
340,What is the purpose of calculating the Loss Cost (LC) by NTSU?
341,Who is eligible for insurance coverage on the National Crop Insurance Portal?
342,"What is the consequence of incorrect, partial, or non-uploading of details on the Portal?"
343,Who is responsible for payment of claims to farmers who are denied crop insurance due to incomplete details on the Portal?
344,Why is the entry of detailed information of insured farmers on the National Crop Insurance Portal essential?
345,Which entities are required to enter the detailed information of insured farmers on the National Crop Insurance Portal?
346,What will happen if the detailed information of insured farmers is not entered on the National Crop Insurance Portal?
347,What is the purpose of uploading data on the National Crop Insurance Portal?
348,What is the role of insurance companies in the entry of information on the National Crop Insurance Portal?
349,Which farmers are eligible for insurance coverage on the National Crop Insurance Portal?
350,What is the purpose of the cut-off date for loanee and non-loanee cultivators?
351,Where can the latest copy of the Crop Calendar be found?
352,What factors are considered by the SLCCCI while determining seasonality discipline?
353,What happens if the SLCCCI violates the seasonality discipline?
354,What is the purpose of the broad indicative seasonality discipline?
355,What is the purpose of the cut-off date in the loanee and non-loanee cultivators?
356,"Where can the latest copy of Crop Calendar (District Wise, Crop Wise) be found?"
357,What factors are considered by SLCCCI when fixing the seasonality discipline of the coverage?
358,What is the maximum premium payable by a farmer for Kharif crops?
359,What is the maximum premium payable by a farmer for Rabi crops?
360,What is the maximum premium payable by a farmer for Annual Commercial/Annual Horticultural crops?
361,What is the maximum premium payable by a farmer for Perennial horticultural crops?
362,How is the premium calculated for Kharif crops?
363,How is the premium calculated for Rabi crops?
364,How is the premium calculated for Annual Commercial/Annual Horticultural crops?
365,How is the premium calculated for Perennial horticultural crops?
366,What are the different seasons mentioned in the table?
367,What crops are covered under the Kharif season?
368,What crops are covered under the Rabi season?
369,What is the maximum premium payable by a farmer for Kharif and Rabi crops?
370,What is the purpose of mapping census codes of villages with higher administrative units?
371,What are some examples of higher administrative/revenue units that villages can be mapped with?
372,Why is it important for State Governments to provide geo-coded village maps in digital format?
373,What is meant by geo-coded maps?
374,"What is the benefit of integrating geo-coded village maps with other apps like CCEs Agri App, Loss reporting/Assessment App?"
375,What kind of digital format should the geo-coded village maps be provided in?
376,How does mapping and standard identification through census codes benefit the country?
377,Why is it important to have a standard mechanism of mapping and identification across the country?
378,What is the purpose of mapping census codes of villages with higher administrative/revenue units across the country?
379,Why is it important for State Governments to provide geocoded village maps in digital format?
380,What system will be used by the Government of India and State Government to remit funds to State Government agencies?
381,"Which payment gateway is mandated for banks, CSC, and Insurance Agents to remit premium payments to Insurance Companies?"
382,"What should stakeholders, including Insurance Companies, Bank branches, CSC, and Insurance Agents, do to comply with the requirements?"
383,What access will Insurance companies have on the National Crop Insurance Portal?
384,What is the recommended financial system for remitting funds to State Govt and agencies?
385,"What is the mandatory method for remitting premium payment to insurance companies for Banks, CSC, and Insurance Agents?"
386,What type of financial transaction is not allowed for remittance in the National Crop Insurance Programme?
387,What data will be provided to insurance companies on the National Crop Insurance Portal?
388,What system will be used by the Government of India to remit funds to state governments and agencies?
389,What is the purpose of the Operational Guidelines?
390,What are the various activities covered under the Scheme?
391,In what circumstances is there an exception for providing yield data?
392,What is the role of State Govt./ UT in the Scheme?
393,What are the activities for which the State Govt./ UT needs to notify seasonality discipline?
394,"In exceptional cases, when should the yield data be provided?"
395,What should be provided at the time of bidding when yield data is not available?
396,How are admissible claims calculated in exceptional cases when yield data is not available?
397,What is the criteria for compulsory coverage of crop insurance?
398,How should banks calculate the eligibility of loan amount for different crop seasons?
399,What additional loan does the disbursing bank branch/PACS provide for crop insurance?
400,How is the Sum Insured amount determined for a notified crop?
401,What is the basis for compulsory coverage under crop insurance?
402,Are farmers eligible for crop insurance if they avail/renew the KCC loans after the cut-off date for the season?
403,What is considered when banks sanction a loan for a notified crop in a notified area?
404,How should banks calculate the eligibility of loan amount for a crop during Kharif and Rabi seasons?
405,What is the additional loan amount provided by the disbursing bank branch/PACS for crop insurance?
406,What does the empanelment of Insurance Companies for implementation of PMFBY imply?
407,What are the major activities Insurance Companies need to carry out for the implementation of PMFBY?
408,What is the requirement regarding the pilot study for the implementation of PMFBY?
409,What infrastructure should be deployed by Insurance Companies for increasing outreach to rural farmers?
410,What commitment is expected from Insurance Companies in terms of non-loanee coverage?
411,What is the role of manpower in the implementation of PMFBY?
412,What resources should be allocated by Insurance Companies for the implementation of PMFBY?
413,Who should Insurance Companies submit the detailed planning to for the implementation of PMFBY?
414,What does the empanelment of Insurance Companies for implementation of the Scheme (PMFBY) imply?
415,What are the major activities that the empanelled Insurance Companies need to carry out for the implementation of PMFBY?
416,What is the purpose of the pilot study to be carried out by the empanelled Insurance Companies?
417,What is the objective of deploying requisite infrastructure by the empanelled Insurance Companies?
418,What is the purpose of adjusting the premium in respect of affected IUs including subsidy?
419,When will the settlement of admissible claims based on Yield data/Post harvest losses be done?
420,What happens with the remaining Government subsidy?
421,What is the requirement for empanelled insurance companies regarding access to agencies verifying the accounts and audit in respect of Crop Insurance?
422,What should be done in case the State Government subsidizes the full farmers' share of premium?
